+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                            ;
+------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; JUEGO_u0|COLISION_u0|Muxx81X_u1                                  ; 11    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|COLISION_u0|Muxx81X_u0                                  ; 11    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|COLISION_u0                                             ; 62    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|CONTROL_CASAS_u0                                        ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|CONTROL_RANAS_u0|SC_CSCOUNT_u0                          ; 7     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|CONTROL_RANAS_u0|CTROL_POSINIRANA_u0                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|CONTROL_RANAS_u0                                        ; 9     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2|SC_STATEMACHINE_NVE_u0   ; 8     ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2|SC_REGDI_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u2                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1|SC_STATEMACHINE_NVE_u0   ; 8     ; 4              ; 0            ; 4              ; 11     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1|SC_REGDI_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u1                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0|SC_STATEMACHINE_NVE_u0   ; 8     ; 6              ; 0            ; 6              ; 11     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0|SC_REGDI_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDI_NV_u0                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2|SC_STATEMACHINE_NVE_u0   ; 8     ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2|SC_REGDD_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u2                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1|SC_STATEMACHINE_NVE_u0   ; 8     ; 4              ; 0            ; 4              ; 11     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1|SC_REGDD_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u1                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0|SC_STATEMACHINE_NVE_u0   ; 8     ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0|MUXX21_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0|SC_VEL_u1                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0|SC_VEL_u0                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0|SC_REGDD_u0              ; 12    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0|REGDD_NV_u0                          ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|NIVEL_VEHICULOS_u0                                      ; 8     ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0|MENU_PRINCIPAL_u0                                       ; 7     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; JUEGO_u0                                                         ; 7     ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_0                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|FILTRO_4                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|FILTRO_3                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|FILTRO_2                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|FILTRO_1                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|FILTRO_0                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_5                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_4                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_3                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_2                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0|DeBounce_1                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CONTROL_ENTRADAS_U0                                              ; 7     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
